,roles,companies,locations,experience,skills
29,Reactjs developer,Mindtree,"['kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-10 Yrs,"['redux', 'es6', 'react.js', 'javascript frameworks', 'cms', 'dom', 'object model', 'contentful']"
30,Immediate Hiring For Service Now Developer with top MNC Mindtree,Mindtree,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-10 Yrs,"['itsm', 'it skills', 'cloud', 'html', 'css', 'javascript', 'snow', 'itam']"
31,Azure DevOps scripter || Open location || Immediate Role,Tech Mahindra,"['hybrid - kolkata', ' mumbai', ' chandigarh', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr']",5-10 Yrs,"['agile', 'certification', 'azure cloud', 'git', 'powershell', 'azure scripting', 'azure devops', 'azure']"
32,Urgent requirement For Azure/AWS Devops Lead,Mindtree,"['noida', ' kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' india']",5-10 Yrs,"['terraform', 'docker', 'ansible', 'devops', 'kubernetes', 'jenkins', 'aws']"
33,VBCS-Full Stack-UI and Integration-Oracle PaaS,Oracle,"['noida', ' kolkata', ' gandhinagar', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",8-13 Yrs,"['vbcs', 'soa', 'java', 'osb', 'oracle erp', 'j2ee', 'odi', 'bpm']"
34,Opening with Tech Mahindra For Inside Sales Executive,Tech Mahindra,"['hybrid - hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",1-4 Yrs,"['inside sales', 'cold calling', 'sales', 'written', 'verbal communication', 'lead generation', 'online lead generation', 'email marketing']"
35,Global Client Group- Senior Relationship Manager,Icici Bank,"['hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",10-16 Yrs,"['client banker', 'credit analysis', 'balance sheet', 'credit appraisal']"
36,HCL Technologies Hiring For Java Architecture Role,HCLTech,"['hybrid - noida', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",10-20 Yrs,"['java architecture', 'soluation architecture', 'microservices', 'angular', 'kubernetes', 'docker', 'java', 'it skills']"
37,HCL Technologies hiring For Java Full Stack Developer Role,HCLTech,"['hybrid - noida', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",5-10 Yrs,"['springboot java', 'java', 'team leading', 'java full stack', 'angular', 'it skills', 'backend', 'front end']"
38,Test Automation Developer,Tech Mahindra,"['temp. wfh - hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",4-9 Yrs,"['my world', 'test automation developer', 'linux', 'gcp', 'python', 'tomcat', 'test automation', 'unix shell script']"
39,Data Scientist,Tata Nexarc,"['new delhi', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",4-8 Yrs,"['data mining', 'machine learning', 'sql', 'python', 'hadoop', 'tableau']"
40,Channel Officer,Tata Nexarc,"['hyderabad/secunderabad', ' pune', ' ahmedabad', ' gurgaon/gurugram', ' chennai', ' surat', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",1-6 Yrs,"['dsa management', 'business loan', 'channel sales', 'business development']"
41,Urgent requirement For .Net Microservices,Mindtree,"['noida', ' kolar', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)', ' india']",5-10 Yrs,"['.net', 'microservices', 'angular', 'design patterns', 'restful', 'sql server', 'object - oriented design', 'ado net']"
42,AEM Architect,Capgemini,"['hybrid - hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",13-20 Yrs,"['cms', 'aem', 'adobe', 'apache sling', 'marketing cloud', 'apache felix', 'analytical', 'j2ee']"
43,SAP BTP Professional,Capgemini,"['mumbai', ' hyderabad/secunderabad', ' pune', ' bangalore/bengaluru']",7-10 Yrs,"['sap btp', 'odata', 'restful application', 'sap bap', 'sap abap', 'abap btp', 'btp development', 'bas abap']"
44,SAP Ibp Consultant,NTT DATA Business Solutions Private Limited,"['hybrid - hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",5-9 Yrs,"['apo', 'sap ibp', 'hana', 'supply chain', 's4', 'operations planning']"
45,Immediate opening For Angular Front End Developer Version 4 & Above,Capgemini,"['noida', ' kolkata', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",4-8 Yrs,"['html/css3 responsive/mobile design javascript typescript angular frameworks 2+ understanding of node and npm', 'javascript', 'angular', 'typescript', 'apis', 'oops', 'npm', 'html']"
46,Resource Management Executive,KPMG India,"['noida', ' kolkata', ' mumbai suburban', ' pune', ' gurgaon/gurugram', ' bangalore/bengaluru']",2-5 Yrs,"['ms excel', 'lookup', 'pivot table', 'vlookup', 'hlookup']"
47,Associate Director - Analytics (Full Stack Developer),WNS Holdings,"['hybrid - pune', ' gurgaon/gurugram', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",14-24 Yrs,"['c#', '.net', 'full stack', 'mvc', 'angular and above', 'azure azure serverless', 'karma', 'ngrx']"
48,RPA A360 Developer- CS/ IT Education background,Hexaware Technologies,"['hybrid - noida', ' mumbai suburban', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",2-7 Yrs,"['automation anywhere', 'multi - threaded programming', 'python', 'communication', 'panda', 'rpa', 'postgresql', 'aa v11']"
49,Technical Lead,Citiustech,"['mumbai', ' pune', ' chennai', ' gurgaon/gurugram', ' bangalore/bengaluru']",3-9 Yrs,"['fhir', 'communication', 'ensemble', 'ccda', 'hl7', 'rhapsody', 'cloverleaf', 'mirth']"
50,Technical Lead - Azure DevOps,Citiustech,"['mumbai', ' pune', ' chennai', ' gurgaon/gurugram', ' bangalore/bengaluru']",6-12 Yrs,"['automation', 'linux', 'coding', 'devops', 'shell scripting', 'performance testing', 'agile', 'technical lead']"
51,Sr Software Engineer DevOps AWS,Citiustech,"['mumbai', ' pune', ' chennai', ' gurgaon/gurugram', ' bangalore/bengaluru']",4-9 Yrs,"['it skills', 'python', 'cloud', 'devops', 'aws', 'unix', 'automation', 'linux']"
52,SAP CPI Consultant,Hexaware Technologies,"['pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",4-9 Yrs,"['sap cpi', 'it skills', 'java', 'testing', 'cloud', 'oracle', 'sap']"
53,Data Integration Lead _ETL,Hexaware Technologies,"['hybrid - pune', ' bangalore/bengaluru', ' mumbai (all areas)']",6-9 Yrs,"['data processing', 'etl', 'machine learning', 'data warehouse', 'datastage', 'talend', 'data mart architecture', 'ssis']"
54,Tableau Developer,Capgemini,"['mumbai', ' pune', ' bangalore/bengaluru']",2-6 Yrs,"['tableau', 'analytical', 'communication', 'my sql', 'performance tuning', 'sql', 'excel', 'presentation']"
55,Trainer - Cloud / DevOps/ Java Full Stack,Capgemini,"['mumbai', ' pune', ' bangalore/bengaluru']",6-9 Yrs,"['java', 'talent data integration', 'machine learning', 'jenkins', 'core java 8', 'spring 5', 'docker', 'devops']"
56,Release Management Professional,Capgemini,"['mumbai', ' pune', ' bangalore/bengaluru']",4-6 Yrs,"['release management', 'octopus', 'tfs', 'informatica', 'itsm', 'qa patching', 'troubleshooting', 'itil']"
57,Oracle Database Administrator,Capgemini,"['mumbai', ' pune', ' bangalore/bengaluru']",4-6 Yrs,"['oracle database', 'database performance tuning', 'linux', 'oracle database 11g / 12c / 18c / 19c', 'asm', 'data warehouses', 'data guard', 'unix']"
58,Trainer - Cloud/ DevOps/ Java Full Stack,Capgemini,"['mumbai', ' pune', ' bangalore/bengaluru']",9-12 Yrs,"['deep learning', 'jpa', 'machine learning', 'maven', 'communication', 'azure', 'gradle', 'data warehouse concepts']"
59,Trainer - (AWS/GCP)/JEE Full Stack,Capgemini,"['mumbai', ' pune', ' bangalore/bengaluru']",6-9 Yrs,"['aws', 'maven', 'kubernets', 'gcp', 'sonarcube', 'react', 'spring 5', 'communication']"
60,Trainer - Java FullStack (Angular/React) Cloud / Salesforce,Capgemini,"['mumbai', ' pune', ' bangalore/bengaluru']",6-9 Yrs,"['java', 'maven', 'sonar cube', 'devops', 'docker', 'kubernetes', 'communication', 'gcp']"
61,Automation Testing Trainer,Capgemini,"['mumbai', ' pune', ' bangalore/bengaluru']",6-9 Yrs,"['automation testing', 'jira', 'web basic', 'bdd', 'manual testing', 'cucumber', 'rdbms', 'uft']"
62,Tableau Developer,Capgemini,"['mumbai', ' pune', ' chennai', ' bangalore/bengaluru']",6-11 Yrs,"['tableau development', 'analytical', 'tableau', 'communication', 'my sql', 'performance tuning', 'sql', 'excel']"
63,OBIEE Developer,Capgemini,"['mumbai', ' pune', ' chennai', ' bangalore/bengaluru']",2-6 Yrs,"['obiee development', 'it skills', 'testing', 'dv', 'lts', 'obiee', 'ml', 'sql']"
64,Incident Management professional,Capgemini,"['mumbai', ' pune', ' bangalore/bengaluru']",4-6 Yrs,"['incident management', 'process improvement', 'process monitoring']"
65,Adobe Campaign Professional,Capgemini,"['mumbai', ' pune', ' bangalore/bengaluru']",2-4 Yrs,"['adobe campaign', 'oracle sql', 'analytics', 'html', 'javascript', 'web services', 'aam', 'adobe target']"
66,Informatica Developer,Capgemini,"['mumbai', ' pune', ' bangalore/bengaluru']",4-6 Yrs,"['informatica', 'powerexchange', 'unix', 'informatica powercenter', 'performance tuning', 'sql', 'communication', 'data warehouse']"
67,Power BI Professional,Capgemini,"['mumbai', ' pune', ' chennai', ' bangalore/bengaluru']",6-11 Yrs,"['power bi', 'ssrs', 'sql server', 'dax', 'data gateway', 'communication', 'sql', 'microsoft power bi']"
68,KPMG is hiring For Background Check Analyst,KPMG India,"['pune', ' bangalore/bengaluru', ' mumbai (all areas)']",0-3 Yrs,"['communication skills', 'presentation skills', 'typing skills', 'ms office']"
69,Cloud (IaaS) Architect,Oracle,"['hybrid - noida', ' kolkata', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",6-11 Yrs,"['linux', 'scripting languages', 'aws', 'iaas', 'ssl vpns', 'juniper', 'dhcp', 'firewalls']"
70,Java Microservice Developer,Cognizant,"['kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-10 Yrs,"['java', 'microservices', 'springboot', 'it skills', 'testing', 'spring boot']"
71,Java Developer For Physically Challenged Aspirants,Cognizant,"['kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-10 Yrs,"['java', 'it skills', 'angularjs', 'core java', 'advanced java', 'spring boot', 'react.js', 'react']"
72,Einstein Analytics & Discovery Consultant (SFDC),Cognizant,"['temp. wfh - kolkata', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",3-8 Yrs,"['einstein analytics', 'json', 'salesforce', 'saql', 'etl', 'it skills', 'cloud', 'salesforce crm']"
73,HCL Job Opportunity For Pega || Nov-12 drive,HCLTech,"['hybrid - noida', ' kolkata', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",6-11 Yrs,"['pega', 'pega lsa', 'pega csa', 'pega cssa']"
74,Competitive Intelligence,WNS Holdings,"['kolkata', ' hyderabad/secunderabad', ' pune', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",3-8 Yrs,"['competitive intelligence', 'pharma', 'life sciences', 'ci landscape', 'oncology', 'healthcare', 'market research', 'market analysis']"
75,Urgent Hiring || Java Spring Boot with Microservices || Wipro Limited,Wipro,"['hybrid - bhubaneswar', ' kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' coimbatore', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",4-7 Yrs,"['spring boot', 'microservices', 'http', 'jenkins', 'soa', 'sprint mvc', 'hibernate', 'soap']"
76,Senior/ Principal Consultant,Oracle,"['noida', ' kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' chennai', ' bangalore/bengaluru']",6-11 Yrs,"['exadata', 'golden gate', 'oracle database', 'exadata cloud', 'iaas', 'oracle goldengate', 'database security', 'oracle db']"
77,SAP BTP CAPM(SAP Cloud Application Programming Model ),Tech Mahindra,"['temp. wfh - kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",7-12 Yrs,"['sap cloud', 'sap', 'it skills', 'cloud', 'capm', 'btp']"
78,"Requirements Tech Expert (DXL,Python) : any Tech M location in India",Tech Mahindra,"['kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",3-8 Yrs,"['doors', 'dxl', 'automotive', 'python', 'written', 'it skills']"
79,Cognizant Hiring - Plsql Developer,Cognizant,"['kochi/cochin', ' noida', ' kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",3-5 Yrs,"['plsql', 'oracle sql', 'unix', 'advance plsql', 'verbal communication', 'oracle 12c', 'written', 'shell scripting']"
80,Business Analyst-Azure Digital Securities,HCLTech,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-8 Yrs,"['business analyst', 'digital security', 'azure', 'digital securities', 'it skills', 'testing', 'development', 'oil & gas']"
81,Java AWS Developer,Mindtree,"['kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-10 Yrs,"['java', 'docker', 'grafana', 'aws', 'kubernetes']"
82,HR Operations Manager - APAC,Rolls Royce,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",3-8 Yrs,"['project management', 'customer service', 'continuous improvement', 'process management', 'service operations', 'service delivery', 'hr operations', 'stakeholder management']"
83,Competitive & Market Intelligence Specialist,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",3-6 Yrs,"['business process', 'sales operations', 'consulting', 'analytics', 'monitoring', 'competitive analysis', 'market intelligence', 'competitive intelligence']"
84,Competitive & Market Intelligence Associate Manager,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",4-9 Yrs,"['business process', 'consulting', 'competitive intelligence', 'analytics', 'monitoring', 'advanced sales', 'management', 'business management']"
85,Contract Senior Analyst,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",2-4 Yrs,"['business process', 'team leading', 'time management', 'consulting', 'legal', 'communication', 'written communication', 'contracting']"
86,Technical Architect (Salesforce),Salesforce,"['mumbai', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' jaipur', ' bangalore/bengaluru']",9-14 Yrs,"['environment management', 'system architecture', 'data migration', 'coding', 'presales', 'saml', 'ssl', 'release management']"
87,Lead Administrator,Wipro,"['hybrid - hyderabad/secunderabad', ' mysore/mysuru', ' pune', ' chennai', ' coimbatore', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)', ' kochi']",7-12 Yrs,"['vmware', 'linux', 'administration', 'esxi', 'troubleshooting', 'vmware vsphere']"
88,Oracle Fusion Hcm Consultant,Oracle,"['hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",3-8 Yrs,"['fusion hcm', 'cloud hcm', 'java', 'dbcs', 'oic', 'hcm', 'written', 'verbal communication']"
89,Automation Tester With Rest Assured (or) Api,Cognizant,"['temp. wfh - kochi/cochin', ' kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' coimbatore', ' bangalore/bengaluru', ' mumbai (all areas)']",4-8 Yrs,"['selenium', 'rest api', 'cucumber', 'api automation', 'java', 'testing', 'it skills', 'rest assured']"
90,nCino Developer (Salesforce),Cognizant,"['temp. wfh - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",3-8 Yrs,"['loan origination', 'ncino', 'salesforce crm', 'requirements design', 'unit testing', 'ide apex data loader', 'force com', 'it skills']"
91,Group Manager - TS : SAP ABAP,WNS Holdings,"['hybrid - mumbai', ' visakhapatnam', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' chennai', ' bangalore/bengaluru']",9-12 Yrs,"['ui5', 'sap abap', 'fiori', 'it skills', 'project management', 'bpo', 'project management', 'travel']"
92,Scrum Master with SAFe,Tech Mahindra,"['temp. wfh - hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",8-12 Yrs,"['scrum master', 'safe', 'tdd', 'java', 'agile', 'continuous integration', 'continuous testing', 'scrum']"
93,"Sr Con ,Con-ISMS",EY,"['hyderabad/secunderabad', ' pune', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",2-7 Yrs,"['iso 27001', 'information security consulting', 'information security management', 'nist']"
94,Oracle Fusion Finance Analyst,Oracle,"['hyderabad/secunderabad', ' pune', ' chennai', ' delhi / ncr', ' bangalore/bengaluru', ' mumbai (all areas)']",5-10 Yrs,"['oracle fusion finance', 'it skills', 'cloud', 'oracle', 'fbdi', 'iby', 'fsr', 'gl']"
95,SAP CPI,Capgemini,"['mumbai', ' hyderabad/secunderabad', ' pune', ' bangalore/bengaluru']",6-9 Yrs,"['sap', 'it skills', 'java', 'testing', 'cloud', 'rest', 'groovy', 'adapters']"
96,SAP ABPA LTMC Senior Consultant,NTT DATA Business Solutions Private Limited,"['mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",10-18 Yrs,"['s4 hana', 'abap', 'it skills', 'sap', 'sap abap', 'mdg', 'lsmw', 'ltmc']"
